Dataset,Classes,Train_N,Test_N,Length,Paper_Error,Original__ES_Error,Original__ES_Std,Original__ES_BestValErr,Kitchen_Sink_Error,Kitchen_Sink_Std,Kitchen_Sink_BestValErr,Original__Data_Gen__FL_Error,Original__Data_Gen__FL_Std,Original__Data_Gen__FL_BestValErr,KS__Data_Gen__FL_Error,KS__Data_Gen__FL_Std,KS__Data_Gen__FL_BestValErr
Adiac,37,390,391,176,0.174,0.19437340153452684,0.014467657927090474,0.1849957307179769,0.4884910485933503,0.045798383695015495,0.4688831965128581,0.1977834612105712,0.008439467124136124,0.1909633676211039,0.473998294970162,0.03558164834562525,0.4066496094067891
GunPoint,2,50,150,150,0.007,0.015555555555555545,0.013698697784375501,0.01555556058883667,0.031111111111111128,0.019116278371205823,0.006666660308837891,0.01999999999999998,0.0054433105395181635,0.015555540720621744,0.02888888888888889,0.011331154474650655,0.015555540720621744
Coffee,2,28,28,286,0.0,0.0,0.0,0.0,0.011904761904761899,0.01683587574253684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InlineSkate,7,100,550,1882,0.635,0.8503030303030302,0.00521353046487431,0.6951515177885691,0.8248484848484848,0.016011933107421706,0.7436363647381464,0.7927272727272728,0.06956773261712361,0.7030302981535593,0.8630303030303029,0.03150349434755639,0.7296969691912333
MedicalImages,10,381,760,99,0.228,0.24868421052631576,0.006709236202095783,0.21929824352264404,0.29078947368421054,0.030595052678237346,0.2802631656328837,0.2587719298245614,0.009688913172971264,0.2127193013827006,0.2657894736842105,0.009548921516261952,0.24473685026168823
