Dataset,Classes,Train_N,Test_N,Length,Paper_Error,Original__ES_Error,Original__ES_Std,Original__ES_BestValErr,Kitchen_Sink_Error,Kitchen_Sink_Std,Kitchen_Sink_BestValErr,Original__Data_Gen__FL_Error,Original__Data_Gen__FL_Std,Original__Data_Gen__FL_BestValErr,KS__Data_Gen__FL_Error,KS__Data_Gen__FL_Std,KS__Data_Gen__FL_BestValErr
Adiac,37,390,391,176,0.143,0.19948849104859337,0.018794038947185517,0.1849957505861918,0.5089514066496164,0.009569456232158395,0.48252344131469727,0.1977834612105712,0.002411276321181737,0.17561807235081991,0.48081841432225064,0.0301168315987309,0.4373401602109273
GunPoint,2,50,150,150,0.0,0.0022222222222222365,0.003142696805273565,0.0,0.013333333333333345,0.005443310539518163,0.0,0.006666666666666672,0.009428090415820642,0.0022222201029459634,0.011111111111111146,0.0062853936105470775,0.004444440205891927
Coffee,2,28,28,286,0.0,0.0,0.0,0.0,0.011904761904761899,0.01683587574253684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InlineSkate,7,100,550,1882,0.589,0.8296969696969697,0.01739721223564525,0.721818188826243,0.7315151515151515,0.06116109484384421,0.6472727259000143,0.8296969696969697,0.009884549351697,0.7369697044293085,0.7987878787878788,0.022333970633561535,0.628484845161438
MedicalImages,10,381,760,99,0.208,0.2495614035087719,0.010154242897184388,0.2157894770304362,0.293859649122807,0.023934673069547795,0.28728071848551434,0.24956140350877196,0.040202817607126226,0.2127193013827006,0.3285087719298246,0.0445601947618904,0.26447367668151855
