Dataset,Classes,Train_N,Test_N,Length,Paper_Error,Original__ES_Error,Original__ES_Std,Original__ES_BestValErr,Kitchen_Sink_Error,Kitchen_Sink_Std,Kitchen_Sink_BestValErr,Original__Data_Gen__FL_Error,Original__Data_Gen__FL_Std,Original__Data_Gen__FL_BestValErr,KS__Data_Gen__FL_Error,KS__Data_Gen__FL_Std,KS__Data_Gen__FL_BestValErr
Adiac,37,390,391,176,0.248,0.5490196078431372,0.019737147319335437,0.4944586555163066,0.6470588235294118,0.025660557448068916,0.6214833855628967,0.9820971867007673,0.0,0.9820971861481667,0.6820119352088662,0.021124487115709915,0.6146632631619772
GunPoint,2,50,150,150,0.067,0.062222222222222255,0.0031426968052735123,0.04000002145767212,0.14222222222222222,0.06999118110232722,0.13333332538604736,0.49333333333333335,5.551115123125783e-17,0.4933333396911621,0.1688888888888889,0.03541639433446495,0.12222222487131755
Coffee,2,28,28,286,0.0,0.0,0.0,0.0,0.0833333333333333,0.016835875742536838,0.03571426868438721,0.46428571428571425,5.551115123125783e-17,0.4642857313156128,0.047619047619047596,0.044543540318737376,0.0476190447807312
InlineSkate,7,100,550,1882,0.649,0.8078787878787878,0.024944382578492925,0.6454545458157858,0.7327272727272728,0.018601223337239747,0.7048484881718954,0.9036363636363637,0.0,0.9036363661289215,0.7963636363636364,0.041167533812707144,0.6945454478263855
MedicalImages,10,381,760,99,0.271,0.299561403508772,0.010814761408717488,0.25131579240163165,0.3618421052631579,0.014453734257266725,0.34035088618596393,0.8986842105263158,0.0,0.8986842110753059,0.39561403508771925,0.04146070981788235,0.32543859879175824
