Dataset,Classes,Train_N,Test_N,Length,Paper_Error,Original__ES_Error,Original__ES_Std,Original__ES_BestValErr,Kitchen_Sink_Error,Kitchen_Sink_Std,Kitchen_Sink_BestValErr,Original__Data_Gen__FL_Error,Original__Data_Gen__FL_Std,Original__Data_Gen__FL_BestValErr,KS__Data_Gen__FL_Error,KS__Data_Gen__FL_Std,KS__Data_Gen__FL_BestValErr
Adiac,37,390,391,176,0.248,0.5311167945439045,0.015811796241254398,0.5098039209842682,0.6334185848252344,0.03766534021206228,0.6214833656946818,0.9820971867007673,0.0,0.9820971861481667,0.618073316283035,0.023748317608157096,0.5950554211934408
GunPoint,2,50,150,150,0.067,0.044444444444444474,0.011331154474650653,0.03777778148651123,0.18444444444444444,0.046294814791110354,0.17777778704961142,0.49333333333333335,5.551115123125783e-17,0.4933333396911621,0.17777777777777778,0.06718318425702656,0.13111112515131632
Coffee,2,28,28,286,0.0,0.0,0.0,0.0,0.08333333333333333,0.0673435029701474,0.035714288552602134,0.46428571428571425,5.551115123125783e-17,0.4642857313156128,0.08333333333333333,0.0937381889763311,0.035714288552602134
InlineSkate,7,100,550,1882,0.649,0.8121212121212121,0.014031317457927532,0.6436363657315572,0.723030303030303,0.01516363151902639,0.696363627910614,0.9036363636363637,0.0,0.9036363661289215,0.8090909090909091,0.03711348095126024,0.7048484881718954
MedicalImages,10,381,760,99,0.271,0.2850877192982456,0.002703690352179366,0.2535087664922078,0.362719298245614,0.01720058907993648,0.3434210618336995,0.8986842105263158,0.0,0.8986842110753059,0.3842105263157895,0.011369720523522546,0.3271930019060771
