Dataset,Classes,Train_N,Test_N,Length,Paper_Error,Original__ES_Error,Original__ES_Std,Original__ES_BestValErr,Kitchen_Sink_Error,Kitchen_Sink_Std,Kitchen_Sink_BestValErr,Original__Data_Gen__FL_Error,Original__Data_Gen__FL_Std,Original__Data_Gen__FL_BestValErr,KS__Data_Gen__FL_Error,KS__Data_Gen__FL_Std,KS__Data_Gen__FL_BestValErr
Adiac,37,390,391,176,0.174,0.2020460358056266,0.009569456232158395,0.1884058117866516,0.4518329070758738,0.018948091023779087,0.42966753244400024,0.18670076726342713,0.003616914481772631,0.1798806587855021,0.463768115942029,0.029703753435949398,0.41432225704193115
GunPoint,2,50,150,150,0.007,0.004444444444444436,0.0062853936105470775,0.0022222201029459634,0.01777777777777778,0.011331154474650619,0.008888880411783854,0.02666666666666669,0.014401645996461902,0.02444446086883545,0.02888888888888889,0.008314794192830995,0.01555556058883667
Coffee,2,28,28,286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InlineSkate,7,100,550,1882,0.635,0.8303030303030304,0.017711077813578748,0.6690909167130789,0.8418181818181818,0.0053525823432289945,0.7496969699859619,0.8375757575757575,0.011142288673242587,0.6872727274894714,0.8696969696969697,0.02762732441222181,0.7290909190972646
MedicalImages,10,381,760,99,0.228,0.2723684210526316,0.011216413905740678,0.23157894611358643,0.30526315789473685,0.037216146378239355,0.27982457478841144,0.2333333333333333,0.008683767488255821,0.2135964830716451,0.30087719298245613,0.0037729496785274584,0.25833332538604736
